Country,Continent,Region,DevName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Total
United States of America,Northern America,Northern America,Developed regions,5433,5604,4948,5543,6990,8394,9613,9463,10190,8995,8142,7676,7891,8501,107383
Uruguay,Latin America and the Caribbean,South America,Developing regions,75,64,91,103,130,217,175,147,160,99,93,81,47,58,1540
Uzbekistan,Asia,Central Asia,Developing regions,101,102,144,155,175,330,262,284,215,288,289,162,235,167,2909
Vanuatu,Oceania,Melanesia,Developing regions,0,1,0,1,1,1,1,0,0,1,0,0,0,0,6
Venezuela (Bolivarian Republic of),Latin America and the Caribbean,South America,Developing regions,443,560,524,699,1224,1211,1192,1335,1239,1353,998,1452,1373,1022,14625
Viet Nam,Asia,South-Eastern Asia,Developing regions,1803,2117,2291,1713,1816,1852,3153,2574,1784,2171,1942,1723,1731,2112,28782
Western Sahara,Africa,Northern Africa,Developing regions,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Yemen,Asia,Western Asia,Developing regions,122,181,171,113,124,161,140,122,133,128,211,160,174,217,2157
Zambia,Africa,Eastern Africa,Developing regions,39,78,50,46,56,91,77,71,64,60,102,69,46,59,908
Zimbabwe,Africa,Eastern Africa,Developing regions,98,110,191,669,1450,615,454,663,611,508,494,434,437,407,7141
